121.51.36.31 hn2-pp.lol.qq.com
111.30.183.113 tgscp.mainconn.gamesafe.qq.com
51.104.164.114 array605.prod.do.dsp.mp.microsoft.com
131.107.255.255 dns.msftncsi.com
14.100.114.97 cn.ekg.riotgames.com
5.107.118.54 kv601.prod.do.dsp.mp.microsoft.com
61.129.6.23 hn2-new-feapp.lol.qq.com
18.112.114.101 presence-heartbeat.xboxlive.com
121.51.36.19 ledge-hn2.lol.qq.com
111.161.64.60 ied-tqos.qq.com
36.155.202.56 tqos.gamesafe.qq.com
4.100.111.119 down.qq.com
8.105.110.116 intldlgs.qq.com
17.100.115.109 dsm01pap002.storage.live.com
13.98.108.111 watson.telemetry.microsoft.com
3.119.110.115 client.wns.windows.com
36.155.202.56 tqos.anticheatexpert.com
4.100.111.119 down.anticheatexpert.com
4.99.104.97 chat.xboxlive.com
9.112.101.111 peoplehub.xboxlive.com
17.110.111.116 notificationinbox.xboxlive.com
3.114.116.97 rta.xboxlive.com
12.120.98.108 xblmessaging.xboxlive.com
4.100.111.119 down.safe.wegamex.com.hk
0.0.0.1 tqos.gamesafe.wegamex.com.hk
3.116.103.112 cdn.tgp.qq.com
0.0.0.1 qtreport.qq.com
117.144.244.60 game.tgp.qq.com
5.108.111.103 login.live.com
14.119.119.119 www.xboxab.com
19.110.115.45 clientnotification-userprodscus1-3.servicebus.windows.net
3.108.100.99 ldc.lenovo.com.cn
5.102.115.114 osfsr.lenovomm.com
3.115.115.108 ssl.ptlogin2.qq.com
121.51.36.20 www.wegame.com.cn
6.119.101.103 wegame.gtimg.com
111.30.144.21 cgi.find.qq.com
6.103.108.111 v10.events.data.microsoft.com
3.97.114.99 arc.msn.com
10.97.117.45 ctldl.windowsupdate.com
1.118.2.116 v.qq.com
5.49.49.49 s1.url.cn
5.113.112.108 9.url.cn
3.49.50.52 241.161.127.124.in-addr.arpa
121.51.36.19 hn2-taas.lol.qq.com
52.184.216.246 array506.prod.do.dsp.mp.microsoft.com
2.103.109.3 gm.mmstat.com
8.104.45.97 h-adashx.ut.taobao.com
1.113.192.15 q2.qlogo.cn
23.115.101.99 pcapp-push.youku.com
14.115.101.116 settings-win.data.microsoft.com
3.112.117.98 pub.idqqimg.com
117.184.242.160 prod-rso.lol.qq.com
17.112.114.111 ekg.riotgames.com
1.113.192.15 q3.qlogo.cn
6.104.111.116 hotfix.lenovo.com.cn
111.13.134.130 weibo.com
8.119.105.108 tile-service.weather.microsoft.com
10.119.100.45 checkappexec.microsoft.com
142.250.66.99 www.gstatic.com
172.217.174.196 www.google.com
142.250.199.77 accounts.google.com
172.217.31.227 clientservices.googleapis.com
10.119.119.119 www.coursera.org
7.98.115.116 s1.hdslb.com
142.250.204.106 safebrowsing.googleapis.com
4.100.97.116 data.bilibili.com
3.105.109.103 i0.hdslb.com
3.105.109.103 i2.hdslb.com
3.105.109.103 i1.hdslb.com
9.105.110.116 api.bilibili.com
9.105.110.116 cm.bilibili.com
1.97.1.119 message.bilibili.com
9.105.110.116 api.vc.bilibili.com
121.40.174.20 hustoj.com
142.250.199.74 translate.googleapis.com
52.74.223.119 github.com
3.119.119.119 www.douyu.com
6.115.104.97 shark2.douyucdn.cn
6.121.99.99 yccdn3.douyucdn2.cn
4.97.112.105 apic.douyucdn.cn
7.119.101.98 webconf.douyucdn.cn
58.20.173.126 www.vod.lxdns.com
4.104.100.108 hdl3.douyucdn.cn
5.104.100.108 hdl3a.douyucdn.cn
4.104.100.108 hdl5.douyucdn.cn
4.104.100.108 hdla.douyucdn.cn
8.109.111.98 mobilep2.douyucdn2.cn
9.97.112.109 apmconfig.douyucdn.cn
11.112.50.112 p2pchunk-ws.douyucdn.cn
9.110.97.54 pcdnlive-slicerd-s.alicdn.com
19.116.121.106 pis-s.alicdn.com
26.116.121.106 pss-s.alicdn.com
3.114.101.115 res.douyucdn.cn
4.114.112.105 rpic.douyucdn.cn
3.115.100.107 sdk.congyicn.com
5.115.104.97 shark.douyucdn.cn
139.198.6.192 static.galaxyclouds.cn
10.115.116.97 staticlive.douyucdn.cn
4.51.48.48 tc-tct.douyucdn2.cn
7.99.108.105 clients2.google.com
8.109.111.98 mobilep1.douyucdn2.cn
6.115.116.97 sta-op.douyucdn.cn
2.104.109.1 hm.baidu.com
8.112.51.49 3gimg.qq.com
9.100.111.116 dotserver.douyucdn.cn
12.105.110.115 otheve.beacon.qq.com
0.16.0.22 www.aliyun.com
1.103.6.97 g.alicdn.com
2.97.116.6 at.alicdn.com
2.103.119.6 gw.alicdn.com
3.108.111.103 log.mmstat.com
9.110.97.54 query.aliyun.com
6.114.116.98 rtbapi.douyucdn.cn
7.114.101.116 retcode.alicdn.com
122.70.132.117 stream-beijing2-ctt-122-70-132-117.edgesrv.com
7.99.108.105 clients1.google.com
8.100.111.116 dotbeats.douyucdn.cn
172.217.161.131 ssl.gstatic.com
1.97.8.109 a.msstatic.com
3.119.119.119 www.huya.com
7.104.117.121 huyaimg.msstatic.com
2.104.100.4 hd.huya.com
9.115.116.97 static-jw.msstatic.com
10.108.105.118 livewebbs2.msstatic.com
10.108.105.118 live-cover.msstatic.com
10.97.110.99 anchorpost.msstatic.com
9.100.105.121 diy-front.cdn.huya.com
13.116.120.45 tx-live-cover.msstatic.com
111.62.70.173 6f3e46ad-ws.va.huya.com
111.62.70.181 6f3e46b5-ws.va.huya.com
223.111.192.114 df6fc072-ws.va.huya.com
36.155.10.45 249b0a2d-ws.va.huya.com
2.98.100.3 bd.flv.huya.com
139.196.40.122 l.huya.com
4.115.116.97 statwup.huya.com
150.158.217.209 user.huya.com
121.40.18.14 api-cfg.ppio.cloud
47.97.27.85 live-sched.ppio.cloud
6.117.100.98 udbres.huya.com
106.55.77.205 df.huya.com
106.55.79.103 metric.huya.com
1.103.4.104 g.huya.com
139.196.40.122 cdnweb.huya.com
1.113.192.15 q4.qlogo.cn
93.46.8.90 google.com
3.119.119.119 www.baidu.com
10.115.115.108 dss0.bdstatic.com
10.115.115.108 dss1.bdstatic.com
3.119.119.119 sp0.baidu.com
12.104.101.99 hectorstatic.baidu.com
3.119.119.119 sp2.baidu.com
3.119.119.119 sp1.baidu.com
11.115.115.108 ss1.bdstatic.com
8.112.97.115 passport.baidu.com
14.115.97.100 sadownload.mcafee.com
1.103.7.99 g.csdnimg.cn
142.250.66.98 adservice.google.com
39.106.226.142 www.csdn.net
7.99.115.100 csdnimg.cn
4.99.115.100 event.csdn.net
8.105.109.103 img-home.csdnimg.cn
39.106.32.246 profile.csdnimg.cn
13.105.109.103 img-community.csdnimg.cn
7.105.109.103 img-bss.csdnimg.cn
10.107.117.110 kunpeng-sc.csdnimg.cn
6.97.118.97 avatar.csdnimg.cn
101.201.173.208 kunpeng.csdn.net
101.201.178.55 img-bss.csdn.net
140.143.49.61 beacon.tingyun.com
9.108.105.118 live-file.csdnimg.cn
59.110.175.195 msg.csdn.net
3.119.119.119 www.anycodes.cn
223.252.199.73 www.icourse163.org
2.109.99.3 mc.stu.126.net
12.97.99.115 acstatic-dun.126.net
16.104.117.98 hubble-js-bucket.nosdn.127.net
5.119.101.98 webzj.netstatic.net
9.101.100.117 edu-image.nosdn.127.net
13.105.109.103 img-ph-mirror.nosdn.127.net
3.97.112.105 api.share.baidu.com
223.252.199.73 icourse163.org
2.106.115.8 js.passport.qihucdn.com
3.119.119.119 imgsize.ph.126.net
59.111.160.221 mooc.study.163.com
45.127.129.34 nos.netease.com
5.115.104.97 push.zhanzhang.baidu.com
1.115.3.115 s.stu.126.net
2.115.50.5 s2.qhimg.com
9.117.114.115 ursdoccdn.nosdn.127.net
59.111.160.204 webzj.reg.163.com
59.111.181.40 hubble.netease.com
6.97.99.45 ac.dun.163.com
223.252.199.73 study.163.com
10.105.116.117 itunes.apple.com
39.155.219.168 www.beian.gov.cn
3.119.119.119 www.12377.cn
6.97.99.45 ac.dun.163yun.com
6.115.104.97 shared.ydstatic.com
36.155.233.54 log.qvb.qcloud.com
120.232.196.185 signal.qvb.qcloud.com
183.192.199.15 cc-hn2.lol.qq.com
16.115.101.108 self.events.data.microsoft.com
3.109.115.103 msg.douyu.com
9.109.115.103 msgstatic.douyucdn.cn
6.115.116.97 static.geetest.com
3.105.109.103 img.douyucdn.cn
9.109.115.103 msgstatic.douyu.com
8.112.97.115 passport.douyu.com
3.116.105.109 webim.tim.qq.com
36.155.245.222 tracker-00.qvb.qcloud.com
58.250.10.140 zyx.qq.com
10.3.55.81 my.bupt.edu.cn
10.3.181.7 auth.bupt.edu.cn
142.250.66.138 content-autofill.googleapis.com
11.115.116.97 node-792.stc-ddns.com
216.58.220.202 www.googleapis.com
7.99.108.105 clients4.google.com
172.217.161.138 passwordsleakcheck-pa.googleapis.com
5.98.101.110 qbwup.imtt.qq.com
111.30.144.80 pcoma.qq.com
15.98.101.97 beacons.gcp.gvt2.com
26.99.111.110 licensing.mp.microsoft.com
142.250.204.131 www.google.com.hk
142.250.72.99 id.google.com.hk
111.30.144.79 ssl.captcha.qq.com
6.99.100.110 cdn-go.cn
7.99.97.112 captcha.gtimg.com
2.115.51.11 s3.feixiaoquan.com
20.119.119.119 www.google-analytics.com
12.105.110.115 t.captcha.qq.com
1.99.192.16 s19.cnzz.com
6.100.110.99 dncapi.bqrank.net
111.30.144.22 aegis.qq.com
1.122.192.15 z3.cnzz.com
3.97.108.108 c.cnzz.com
39.108.99.52 ws.feixiaoquan.com
2.115.50.11 s2.feixiaoquan.com
8.112.97.103 adservice.google.com.hk
6.97.115.105 vortex.data.microsoft.com
2.100.99.19 dc.services.visualstudio.com
7.99.99.99 min-api.cryptocompare.com
185.199.109.133 raw.githubusercontent.com
121.51.36.43 hn2-cap.lol.qq.com
111.13.34.114 ied-tqos-tgp.qq.com
1.103.3.119 g.wan.douyu.com
183.232.96.112 report.url.cn
9.115.117.98 substrate.office.com
6.109.111.98 mobile.pipe.aria.microsoft.com
104.18.4.127 assets.coingecko.com
23.115.101.99 pcapp-data-collect.youku.com
5.101.114.114 err.taobao.com
5.101.114.114 error.taobao.com
